production_compani,Id_production_compani
Clarke-King Enterprises,855
Granada Films,856
Marimark,857
Bigel / Mailer Films,858
Julian Blaustein Productions,859
Chadwick Pictures Corporation,860
Kintop Pictures,861
JVC Entertainment Networks,862
Unidis,863
Bachelor Party Productions,864
Film4,865
Kaleidoscope Films,866
IRS Media,867
ABC Pictures,868
civilhand,869
Celebrated Productions,870
Toho-Towa,871
Jeff Most Productions,872
Zentropa Entertainments,873
Screen Gems,874
New Horizon Picture Corp.,875
New Horizons Picture,876
Boom Pictures Inc.,877
DDM Film Corporation,878
Irish Screen,879
Doperfilme,880
Produzioni Intersound,881
Avala Film,882
Hi-Rez Films,883
Walt Disney Production,884
Fanfare Films,885
Aspen Film Society,886
Paradine Co-Productions,887
Crossbow Productions,888
Delux Productions,889
Harcourt Productions,890
"Keli Herd Film Company, Inc",891
Téléma Productions,892
Clarion Films,893
Samba P.C.,894
Morgana Films,895
Dania Film,896
Bruce Brown Films,897
Films 66,898
Full Moon Pictures,899
Kings Road Entertainment,900
Embark Production,901
American Film Institute (AFI),902
Magidson Films,903
Carlyle Production,904
Spheeris Films Inc.,905
Tobis,906
Melvin Simon Productions,907
Troma Entertainment,908
Nelvana,909
Joel Productions,910
Pressman-Williams,911
Goskino Productions,912
Punch 21 Productions,913
Evenstar Films,914
Amicus Productions,915
Allied Vision,916
Kentucky Fried Theatre,917
Golan-Globus Productions,918
Mercury Films,919
Galaxy Pictures Inc.,920
Lippert Pictures,921
Gold/Miller Productions,922
"Imar Film Co., Ltd.",923
Bridge Films,924
Allied Artists,925
Film Foundry Partners,926
Greaser's Palace Ltd.,927
The Great American Dream Machine Movie Company,928
Laurel Entertainment,929
Touchwood Pacific Partners 1,930
7 Network,931
Progress Communications,932
NRK Drama,933
New Century Producers,934
Columbia Tristar,935
New Oz Productions,936
Societé Cinématographique Lyre,937
Rex Carlton Productions,938
Katzka-Loeb,939
Starway International Inc.,940
IndieProd Company Productions,941
American Eagle,942
Iéna Productions,943
Aeteas Filmproduktions,944
Good Machine,945
Film Cellar,946
Bórd Scannán na hÉireann,947
Paramount Pictures Corporation,948
M6 Films,949
St. Michael Finance Limited,950
Amen Ra Films,951
Aviva Entertainment,952
Black Hawk Entertainment,953
Ardent Films,954
Skipped Parts Productions,955
Claussen + Wöbke Filmproduktion GmbH,956
Vía Digital,957
Film Development Corporation,958
Brillstein-Grey Entertainment,959
Revelations Entertainment,960
"Screen Gems, Inc.",961
Fifth Avenue Entertainment,962
Road Movies Filmproduktion,963
Associated Producers (API),964
Hollywood Pictures Corporation (II),965
Hollywood Pictures Corporation,966
Regal Films Inc.,967
Santa Fe Productions (I),968
New Concorde,969
Producers Releasing Corporation,970
Fulvia Film,971
Paragon Films Ltd.,972
Cappa Productions,973
Phoenix Pictures,974
Limited Edition Productions Inc.,975
Ariane Films,976
Cineplex-Odeon Films,977
Fred Berner Films,978
El Mar Pictures,979
Cinema Service,980
Rigas Entertainment,981
Neo Art & Logic,982
USA Films,983
Saturn Films,984
Filmhaus,985
Mercury,986
TriStar Television,987
Elliott Kastner Productions,988
Industry Entertainment,989
Epsilon Motion Pictures,990
Persistent Entertainment,991
Night Light Films,992
Les Films du Triangle,993
Diaphana Films,994
Zoetrope Studios,995
Apollo Pictures,996
P.T. Insantra Film,997
Balcor Film Investors,998
Ghost Pictures,999
Eddie Murphy Productions,1000
Renaissance Pictures,1001
Ego Film Arts,1002
Fries Entertainment Films,1003
Filmtre,1004
New Life Cinema,1005
Cloud Ten Pictures,1006
Block 2 Pictures,1007
Goatworks Films,1008
Cinémaginaire Inc.,1009
Tokuma Shoten,1010
G.W. Films,1011
HB Filmes,1012
Peter McCarthy / Front Films,1013
Action Features,1014
Phalanx-Jaelem,1015
Rainbow Productions,1016
George Stevens Productions,1017
Sullivan Street Productions,1018
Pathé Pictures International,1019
Stone Group Pictures,1020
Tijuana Productions,1021
District,1022
Shochiku-Fuji Company,1023
EMI Films Ltd.,1024
Hemdale Film,1025
Altavista Films,1026
Ciné Tamaris,1027
DNA Films,1028
Main Street Movie Company,1029
Makhmalbaf Productions,1030
Helkon Media AG,1031
Pariah Entertainment Group,1032
Jafar Panahi Film Productions,1033
Bungalow Productions,1034
Oil Factory,1035
Turbulent Arts,1036
Les Films de L'Observatoire,1037
Filmboard Berlin-Brandenburg (FBB),1038
First National Bank of Chicago (London Branch),1039
Corona Cinematografica,1040
Produzioni Europee Associati (PEA),1041
Les Productions Artistes Associés,1042
All Girl Productions,1043
Odyssey Entertainment,1044
Société Nationale Pathé Cinéma,1045
Alta Films S.A.,1046
Daly-Harris Productions,1047
Journeyman Pictures,1048
Silver Films,1049
C.B. Films S.A.,1050
Omega Project,1051
Thura Film,1052
P-R Productions Picture,1053
Revolution Studios,1054
Chaiken Films,1055
Ceská Televize,1056
20th Century Fox,1057
Palace Pictures,1058
Republic Entertainment International,1059
National Wildlife Federation,1060
Gaumont International,1061
Cité-Amérique,1062
Toute Premiere Fois,1063
ARTE France Cinéma,1064
alta vista productions,1065
Lux Vide,1066
Eurasia Investments,1067
Entcorp Communications,1068
Filmsonor,1069
Dowling Productions,1070
Universum Film (UFA),1071
Saber Productions,1072
Joseph E. Levine Productions,1073
Pax Films,1074
C & C Brown Production,1075
Figaro,1076
Les Films Number One,1077
Cinematograph AB,1078
Documento Film,1079
Parklane Pictures Inc.,1080
Hecht-Hill-Lancaster Productions,1081
Les Films Concordia,1082
Österreichischer Rundfunk (ORF),1083
Seda Spettacoli,1084
Solaris Film,1085
The Ladd Company,1086
Marc Platt Productions,1087
Canal+ Horizons,1088
IMAX,1089
Large Format Cinema,1090
Graphic Films,1091
nWave Pictures,1092
Anchor Bay,1093
GG Studio,1094
Villealfa Filmproduction Oy,1095
No Frills Film Production,1096
Brightstar Films,1097
Hemdale Film Corporation,1098
Bigelow Productions,1099
Film Four International,1100
Allied Entertainments Group PLC,1101
New Sky Communications Inc.,1102
